,BATHRM,HF_BATHRM,HEAT,AC,ROOMS,BEDRM,AYB,YR_RMDL,EYB,PRICE,QUALIFIED,SALE_NUM,BLDG_NUM,FIREPLACES,USECODE,LANDAREA,SOURCE,CMPLX_NUM,LIVING_GBA,ZIPCODE,LATITUDE,LONGITUDE,ASSESSMENT_NBHD,WARD,SQUARE,QUADRANT,SALEYEAR,SALEMONTH
106696,2,0,Forced Air,Y,4,2,1911.0,1,1919,599900.0,Q,2,1,0,16,716,Condominium,5329.0,1084.0,20010.0,38.93360568,-77.02131173000001,Columbia Heights,Ward 1,3037,NW,2016.0,12.0
106698,2,0,Forced Air,Y,4,2,1911.0,1,1919,677900.0,U,2,1,0,16,844,Condominium,5329.0,1267.0,20010.0,38.93360568,-77.02131173000001,Columbia Heights,Ward 1,3037,NW,2017.0,2.0
106699,2,0,Forced Air,Y,4,2,1911.0,1,1919,659900.0,U,2,1,0,16,763,Condominium,5329.0,1151.0,20010.0,38.93360568,-77.02131173000001,Columbia Heights,Ward 1,3037,NW,2016.0,12.0
106700,2,0,Forced Air,Y,4,2,1911.0,1,1919,645000.0,U,2,1,0,16,716,Condominium,5329.0,1080.0,20010.0,38.93360568,-77.02131173000001,Columbia Heights,Ward 1,3037,NW,2016.0,12.0
106701,2,0,Forced Air,Y,4,2,1911.0,1,1919,690900.0,Q,2,1,0,16,923,Condominium,5329.0,1405.0,20010.0,38.93360568,-77.02131173000001,Columbia Heights,Ward 1,3037,NW,2017.0,2.0
106702,2,0,Forced Air,Y,4,2,1911.0,1,1919,695000.0,U,2,1,0,16,844,Condominium,5329.0,1278.0,20010.0,38.93360568,-77.02131173000001,Columbia Heights,Ward 1,3037,NW,2016.0,11.0
106703,2,0,Forced Air,Y,4,2,1911.0,1,1919,803500.0,U,2,1,0,16,918,Condominium,5329.0,1417.0,20010.0,38.93360568,-77.02131173000001,Columbia Heights,Ward 1,3037,NW,2016.0,12.0
106704,2,0,Forced Air,Y,4,2,1911.0,1,1919,642900.0,Q,2,1,0,16,716,Condominium,5329.0,1080.0,20010.0,38.93360568,-77.02131173000001,Columbia Heights,Ward 1,3037,NW,2016.0,12.0
106705,2,0,Forced Air,Y,4,2,1911.0,1,1919,765900.0,U,2,1,0,16,923,Condominium,5329.0,1405.0,20010.0,38.93360568,-77.02131173000001,Columbia Heights,Ward 1,3037,NW,2017.0,4.0
106706,2,0,Forced Air,Y,4,2,1911.0,1,1919,738400.0,U,2,1,0,16,844,Condominium,5329.0,1278.0,20010.0,38.93360568,-77.02131173000001,Columbia Heights,Ward 1,3037,NW,2016.0,12.0
106707,2,0,Forced Air,Y,4,2,2007.0,0,2007,264405.0,Q,1,1,0,17,471,Condominium,3175.0,955.0,20011.0,38.95575929,-77.01040726,Chillum,Ward 4,3393,NW,2014.0,2.0
106708,2,0,Forced Air,Y,4,2,2007.0,0,2007,274900.0,Q,1,1,0,17,471,Condominium,3175.0,950.0,20011.0,38.95575929,-77.01040726,Chillum,Ward 4,3393,NW,2014.0,4.0
106709,2,0,Forced Air,Y,4,2,2007.0,0,2007,252500.0,Q,1,1,0,17,471,Condominium,3175.0,980.0,20011.0,38.95575929,-77.01040726,Chillum,Ward 4,3393,NW,2013.0,7.0
106710,2,0,Forced Air,Y,4,2,2007.0,0,2007,289900.0,Q,1,1,0,17,471,Condominium,3175.0,980.0,20011.0,38.95575929,-77.01040726,Chillum,Ward 4,3393,NW,2013.0,7.0
106712,2,0,Forced Air,Y,4,2,2007.0,0,2007,265000.0,Q,1,1,0,17,471,Condominium,3175.0,950.0,20011.0,38.95575929,-77.01040726,Chillum,Ward 4,3393,NW,2014.0,3.0
106713,2,0,Forced Air,Y,4,2,2007.0,0,2007,265000.0,Q,1,1,0,17,471,Condominium,3175.0,980.0,20011.0,38.95575929,-77.01040726,Chillum,Ward 4,3393,NW,2013.0,11.0
106718,1,1,Forced Air,Y,4,2,1937.0,1,1937,361500.0,U,2,1,0,16,788,Condominium,5528.0,777.0,20011.0,38.95287496,-77.01260222,Petworth,Ward 4,3399,NW,2017.0,8.0
